index,term,prof_rating,requirements_met0,requirements_met1,requirements_met2,requirements_met3,title,registered,description,course_id,end_time,faculty,department,credits,start_time,size
116,18WI,,Arts Practice,,,,Ballet+II,12,For the student with previous ballet experience. This course emphasizes articulation of technique and development of ballet vocabulary.,DANC+208.00,12:20pm,Jennifer  Bader,DANC,"1 credit, S/CR/NC only",11:10am,20
117,18WI,,Arts Practice,,,,Contemporary+Dance+Forms+II,9,"This course is intended for students seeking to refine and deepen their awareness of embodied movement approaches. Through these approaches, students will work to develop an alert and articulate body. In both standing and floor work, momentum, dynamic shifts and spatial challenges are introduced.",DANC+210.00,3:00pm,Jane  Shockley,DANC,"1 credit, S/CR/NC only",1:50pm,25
118,18WI,,Arts Practice,,,,Movement+for+the+Performer,12,"This course investigates the structure and function of the body through movement. Applying a variety of somatic techniques (feldenkrais, yoga, improvisation, body-mind centering). The emphasis will be to discover effortless movement, balance in the body and an integration of self in moving.",DANC+253.00,12:20pm,Jane  Shockley,DANC,3 credits,11:10am,25
119,18WI,,Humanistic Inquiry,Intercultural Domestic Studies,,,Reading+The+Dancing+Body:+Topics+in+Dance+History,8,"Dance is an art of the body in time and space and culture. This course will look at dance as a symbolic system of meanings based on bodily display. The investigation of the body as a “text” will be anchored by, but not limited to, feminist perspectives. Topics include Native American concert dance and the Africanist base of American Modern dance. Through reading, writing, discussing, moving, viewing videos and performances the class will “read” the gender, race, and politics of the dancing body in the cultural/historical context of Modern, Post Modern and Contemporary Dance.",DANC+266.00,3:00pm,Judith A Howard,DANC,6 credits,1:50pm,20
120,18WI,,Arts Practice,,,,The+Body+as+Choreographer,11, ,DANC+268.00,3:00pm,Judith A Howard,DANC,6 credits,1:15pm,20
121,18WI,,Arts Practice,,,,Modern+Dance+III:+Technique+and+Theory,9,"ve work on technical, theoretical, and expressive problems for the experienced dancer.",DANC+300.00,11:50am,Daphne L McCoy,DANC,"1 credit, S/CR/NC only",10:40am,25
122,18WI,,Arts Practice,,,,Semaphore+Repertory+Dance+Company,9,"vides advanced dance students with an intensive opportunity to develop as performers in professional level dances. Skills to be honed are: the dancer as ""tool"" and contributor to the process of art-making; defining individual technical and expressive gifts; working in a variety of new technical and philosophical dance frameworks. In addition to regular training during the academic terms, participation in a ""preseason"" rehearsal period before fall term is required. A few pieces of student choreography will be accepted for repertory. The group produces an annual concert, performs in the Twin Cities and makes dance exchanges with other college groups.",DANC+350.00,5:30pm,"Judith A Howard, Jane  Shockley",DANC,"1 credit, S/CR/NC only",3:30pm,20
123,18WI,2.25,Social Inquiry,Quantitative Reasoning,,,Principles+of+Macroeconomics,19,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",ECON+110.01,3:00pm,Yaniv  Ben-Ami,ECON,6 credits,1:50pm,30
124,18WI,5,Social Inquiry,Quantitative Reasoning,,,Principles+of+Macroeconomics,19,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",ECON+110.02,11:00am,Ethan L Struby,ECON,6 credits,9:50am,30
125,18WI,5,Social Inquiry,Quantitative Reasoning,,,Principles+of+Macroeconomics,16,"This course gives students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 111, as a preparation for all advanced study in economics. Topics include analysis of the measurement, level, and distribution of national income; the concepts of inflation and depression; the role and structure of the banking system; fiscal and monetary stabilization techniques; implications of and limits to economic growth; and international economic relations.",ECON+110.03,1:40pm,Ethan L Struby,ECON,6 credits,12:30pm,30
126,18WI,4.5,Social Inquiry,Quantitative Reasoning,,,Principles+of+Microeconomics,30,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",ECON+111.01,3:00pm,Prathi Seneviratne,ECON,6 credits,1:50pm,30
127,18WI,4,Social Inquiry,Quantitative Reasoning,,,Principles+of+Microeconomics,27,"This course gives the students a foundation in the general principles of economics as a basis for effective citizenship and, when combined with 110, as a preparation for all advanced study in economics. Topics include consumer choice theory; the formation of prices under competition, monopoly, and other market structures; the determination of wages, profits, and income from capital; the distribution of income; and an analysis of policy directed towards problems of public finance, pollution, natural resources, and public goods.",ECON+111.02,1:40pm,Aaron M Swoboda,ECON,6 credits,12:30pm,30
128,18WI,4.7,Social Inquiry,Writing Rich 2,Quantitative Reasoning,International Studies,Analysis+of+Microeconomic+Development+Models,15,"This course is the second part of a two-term winter break course sequence beginning with Economics 240. This course will focus on critically analyzing the appropriateness of modern microeconomic development models in the context of Bangladesh. Students exposed to various on-site visits and lectures in Bangladesh during the winter break will be required to research, write and present their views on the reliability of different model assumptions and implications they studied in Economics 240.",ECON+244.00,10:00am,Faress Bhuiyan,ECON,6 credits,8:15am,20
129,18WI,4.7,Social Inquiry,Writing Rich 2,,,Economics+of+Higher+Education,21,"This course examines current issues in higher education through the lens of both theoretical and empirical economics. Students will be exposed to both signaling models of higher education and empirical analyses of its returns. We will also discuss admissions as a matching process, rising tuition as a form of price discrimination, and the globalization of higher education, among other topics.",ECON+259.00,11:55am,Shane Auerbach,ECON,6 credits,10:10am,25
130,18WI,3.4,Social Inquiry,Quantitative Reasoning,,,Health+Care+Economics,17,"This course will focus on the economics of medical care and how health care markets and systems work. We will consider both private health insurance markets and publicly provided social health insurance. The changes which demography, technology and the Affordable Health Care Act are bringing to health care delivery will be examined. Some time will be devoted to understanding the health care systems in other countries. This is a discussion course.",ECON+264.00,3:00pm,Nathan D Grawe,ECON,6 credits,1:15pm,25
131,18WI,4,Social Inquiry,Quantitative Reasoning,,,Economics+of+Natural+Resources+and+the+Environment,24,"This course focuses on environmental economics, energy economics, and the relationship between them. Economic incentives for pollution abatement, the industrial organization of energy production, optimal depletion rates of energy sources, and the environmental and economic consequences of alternate energy sources are analyzed.",ECON+271.00,11:00am,Aaron M Swoboda,ECON,6 credits,9:50am,25
132,18WI,4.5,Social Inquiry,Quantitative Reasoning,,,International+Trade,20,"A study of international trade theories and their policy implications. Classical and neo-classical trade models, the gains from trade, the terms of trade and the distribution of income, world trade patterns, international factor movements, tariffs, and the impact of commercial policy on developing and developed countries are analyzed.",ECON+280.00,12:20pm,Prathi Seneviratne,ECON,6 credits,11:10am,25
133,18WI,4.8,Social Inquiry,Quantitative Reasoning,,,Intermediate+Price+Theory,17,An analysis of the forces determining relative prices within the framework of production and distribution. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.,ECON+330.00,3:00pm,Jenny  Bourne,ECON,6 credits,1:15pm,25
134,18WI,2.25,Social Inquiry,Quantitative Reasoning,,,Intermediate+Macro+Theory,9,"Analysis of the forces determining the general level of output, employment, and prices with special emphasis on the role of money and on interest rate determination. This class is normally taken by juniors. Sophomores considering enrolling should speak to the instructor.",ECON+331.00,12:20pm,Yaniv  Ben-Ami,ECON,6 credits,11:10am,25
135,18WI,4.8,Writing Rich 2,Quantitative Reasoning,,,Advanced+Seminar+in+Labor+Economics,7,"Labor economics is the study of work and pay. It encompasses a wide variety of topics, including the nature of the labor contract, human capital investment, fringe benefits, search and hiring, turnover, working conditions, discrimination, union activities, income and wealth distribution, and government policies. The seminar considers labor market activities within the larger context of general household decision-making about family formation, the timing of marriage and childbirth, and the allocation of unpaid household work among family members.",ECON+395.00,11:55am,Jenny  Bourne,ECON,6 credits,10:10am,15
136,18WI,4.8,,,,,Advanced+Research+in+Economics,4,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research.",ECON+398.01,n/a,Jenny  Bourne,ECON,"6 credits, S/CR/NC only",n/a,15
137,18WI,3.4,,,,,Advanced+Research+in+Economics,14,"This course is designed to support majors in developing advanced skills in economic research and communication. Through a combination of class discussion, small group work, and/or one-on-one interactions with the professor, majors learn the process of constructing strong, theoretically-grounded arguments through primary research, secondary research, or both. Students will also learn and practice strategies for engaging critically with contemporary scholarship and effective techniques of peer review and the oral presentation of research.",ECON+398.02,n/a,Nathan D Grawe,ECON,"6 credits, S/CR/NC only",n/a,15
138,18WI,4.8,,,,,Integrative+Exercise,6,n/a,ECON+400.01,n/a,Jenny  Bourne,ECON,"3 credits, S/CR/NC only",n/a,15
139,18WI,3.4,,,,,Integrative+Exercise,14,n/a,ECON+400.02,n/a,Nathan D Grawe,ECON,"3 credits, S/CR/NC only",n/a,15
140,18WI,4.7,Social Inquiry,Writing Rich 2,Intercultural Domestic Studies,,Introduction+to+Educational+Studies,25,"This course will focus on education as a multidisciplinary field of study. We will explore the meanings of education within individual lives and institutional contexts, learn to critically examine the assumptions that writers, psychologists, sociologists and philosophers bring to the study of education, and read texts from a variety of disciplines. What has ""education"" meant in the past Open only to first-and second-year students.",EDUC+110.00,3:00pm,Anita P Chikkatur,EDUC,6 credits,1:15pm,25
141,18WI,4,Social Inquiry,Intercultural Domestic Studies,,,The+Politics+of+Teaching,25,"Teaching is a political act. Each decision a teacher makes has the power to reinforce or disrupt dominant social hierarchies. In this course, we will explore this premise to understand how teachers navigate power and politics in and out of their classrooms. Students will read educational research in critical pedagogy and critical policy studies, interact with guest speakers, and take field trips to meet teachers in their classrooms. Topics may include racial justice, climate change, and teachers’ unions.",EDUC+260.00,11:55am,Kathryn L Wegner,EDUC,6 credits,10:10am,25
142,18WI,2.3,Writing Rich 2,Quantitative Reasoning,,,Introduction+to+Rhetoric,15,"English 109 is the single Carleton course devoted exclusively to the study and practice of expository prose. It is designed to provide students with the organizational and argumentative skills they will need in order to write effectively at the college level and beyond. All sections of the course feature diverse readings, weekly writing exercises and essays, and individual tutorials.",ENGL+109.00,11:00am,Jeremy P DeAngelo,ENGL,6 credits,9:50am,15
143,18WI,4.6,Literary/Artistic Analysis,Writing Rich 2,,,Introduction+to+the+Novel,22,"This course will explore the history and form of the British novel, tracing its development from the eighteenth century to the present. Among the questions that we will consider: What are our expectations for novels, and what makes them such a popular form of entertainment Authors will likely include: Daniel Defoe, Jane Austen, Charlotte Bronte, Charles Dickens, Virginia Woolf, and Jean Rhys.",ENGL+112.00,3:00pm,Jessica L Leiman,ENGL,6 credits,1:50pm,25
144,18WI,4.3,Arts Practice,Writing Rich 2,,,Introduction+to+Creative+Writing,14,"This course offers training in the writing and revision of poetry and prose fiction, supplemented by examples from published writers and some essays on the creative process. Discussion of each participant's writing is the central mode of instruction.",ENGL+160.00,11:55am,Gregory G Hewett,ENGL,6 credits,10:10am,15
145,18WI,2.3,Literary/Artistic Analysis,Writing Rich 2,,,Arthurian+Tradition:+From+Medieval+to+Modern,12,"King Arthur is a figure from Western tradition whose name conjures a clear series of associations: the Sword in the Stone, the Round Table, the Holy Grail. This course traces the development of this tradition, from its origins in an obscure corner of the British Isles to its dominance within both European literature and the popular imagination. Similarly, Arthur himself takes on multiple, sometimes contradictory guises—an enemy of the English and yet a symbol of England, the archetype of the perfect king but a champion of democracy, the epitome of Christian devotion yet suffused with pagan imagery. Our texts range from medieval Welsh legend to modern film; everything is in modern English translation.",ENGL+206.00,1:40pm,Jeremy P DeAngelo,ENGL,6 credits,12:30pm,25
146,18WI,4.7,Literary/Artistic Analysis,Writing Rich 2,International Studies,,Christopher+Marlowe,13,"Christopher Marlowe lived fast, died young, and left behind a beautiful body of work. The course will explore the major plays and poems, as well as the life, of this transgressive Elizabethan writer.",ENGL+213.00,11:55am,Pierre  Hecker,ENGL,3 credits,10:10am,25
147,18WI,4.7,Literary/Artistic Analysis,Writing Rich 2,International Studies,,Revenge+Tragedy,20,"Madness, murder, conspiracy, poison, incest, rape, ghosts, and lots of blood: the fashion for revenge tragedy in Elizabethan and Jacobean England led to the creation of some of the most brilliant, violent, funny, and deeply strange plays in the history of the language. Authors may include Cary, Chapman, Ford, Marston, Middleton, Kyd, Tourneur, and Webster.",ENGL+214.00,11:55am,Pierre  Hecker,ENGL,3 credits,10:10am,25
148,18WI,3.9,Literary/Artistic Analysis,Writing Rich 2,,,Milton,22,"Radical, heretic, and revolutionary, John Milton wrote the most influential, and perhaps the greatest, poem in the English language. We will read the major poems (",ENGL+216.00,3:00pm,Timothy  Raylor,ENGL,6 credits,1:15pm,25
149,18WI,4.67,,,,,Arts+of+Oral+Presentation,8,d practice in being a speaker and an audience in formal and informal settings.,ENGL+220.01,3:00pm,Michael J Kowalewski,ENGL,"3 credits, S/CR/NC only",1:50pm,14
150,18WI,4.67,,,,,Arts+of+Oral+Presentation,9,d practice in being a speaker and an audience in formal and informal settings.,ENGL+220.02,3:00pm,Michael J Kowalewski,ENGL,"3 credits, S/CR/NC only",1:50pm,14
151,18WI,3.5,Literary/Artistic Analysis,Writing Rich 2,,,"""Moby-Dick""+&+Its+Contexts",10,"We will set out after Herman Melville's sublime romance of whale-hunting, researching as we go the myriad cultural contexts that speak within it-- romanticism, nationalism, humanism, religion, idealism, capitalism, science, race, labor, gender, sexuality, masculinity, whiteness. Attention to Melville’s life, career, and other works, his nineteenth-century obscurity and twentieth-century canonization, will lead us to a history of interpretations of  from 1851 to the present.",ENGL+221.00,11:00am,Peter J Balaam,ENGL,6 credits,9:50am,25
152,18WI,4.67,Literary/Artistic Analysis,Writing Rich 2,Intercultural Domestic Studies,,Visions+of+California,26,"An interdisciplinary exploration of the ways in which California has been imagined in literature, art, film and popular culture from pre-contact to the present. We will explore the state both",ENGL+248.00,12:20pm,Michael J Kowalewski,ENGL,6 credits,11:10am,25
153,18WI,,Arts Practice,Writing Rich 2,,,"American+Lyric:+Poetry,+Pop+and+Rap",20,"his course we will look at the shifting boundary between genres that share a common root in lyrical expression. From the sonnet to chart topping pop to underground rap, what it means to be American has been built and is continually refurbished from the lyric up. We will be asking many questions. How does Kendrick Lamar’s song “i” echo and update Walt Whitman’s “Song of Myself” Our answers will come in both critical and creative forms.",ENGL+264.00,3:00pm,Chris Martin,ENGL,6 credits,1:15pm,25
154,18WI,4.2,Arts Practice,Writing Rich 2,,,Short+Story+Workshop,12,"An introduction to the writing of the short story (prior familiarity with the genre of the short story is expected of class members). Each student will write and have discussed in class three stories (from 1,500 to 6,000 words in length) and give constructive suggestions, including written critiques, for revising the stories written by other members of the class. Attention will be paid to all the elements of fiction: characterization, point of view, conflict, setting, dialogue, etc.",ENGL+270.00,4:50pm,Gregory B Smith,ENGL,"6 credits, S/CR/NC only",1:50pm,15
155,18WI,4.3,Arts Practice,Writing Rich 2,,,Poetry+Workshop,14,"This course offers newer poets ways of developing poetic craft and vision. Through intensive writing and revision of poetry, supplemented by reading and discussion of poetry, each member of the group will create a portfolio of poems.",ENGL+271.00,5:30pm,Gregory G Hewett,ENGL,6 credits,2:30pm,15
156,18WI,4.3,,,,,London+Program:+Directed+Reading:+London+History+and+Culture,1,"Students will read selected material in English history, literature and culture, and do short presentations, in either pairs or small groups, based on the readings.",ENGL+290.11,n/a,Gregory G Hewett,ENGL,"1-6 credits, S/CR/NC only",n/a,1
157,18WI,4.3,,,,,London+Program:+Directed+Reading:+London+History+and+Culture,1,"Students will read selected material in English history, literature and culture, and do short presentations, in either pairs or small groups, based on the readings.",ENGL+290.12,n/a,Gregory G Hewett,ENGL,"1-6 credits, S/CR/NC only",n/a,1
158,18WI,5,Literary/Artistic Analysis,Writing Rich 2,,,Critical+Methods,10,"Required of students majoring in English, this course explores practical and theoretical issues in literary analysis and contemporary criticism. Not open to first year students.",ENGL+295.00,11:55am,Nancy J Cho,ENGL,6 credits,10:10am,20
159,18WI,4.6,Literary/Artistic Analysis,Writing Rich 2,,,The+Rise+of+the+Novel,10,"A study of the origin and development of the English novel throughout the long eighteenth century. We will situate the early novel within its historical and cultural context, paying particular attention to its concern with courtship and marriage, writing and reading, the real and the fantastic. We will also consider eighteenth-century debates about the social function of novels and the dangers of reading fiction. Authors include Behn, Defoe, Haywood, Richardson, Fielding, Sterne, Walpole, and Austen.",ENGL+319.00,12:20pm,Jessica L Leiman,ENGL,6 credits,11:10am,20
160,18WI,4.2,Literary/Artistic Analysis,Writing Rich 2,International Studies,,The+Postcolonial+Novel:+Forms+and+Contexts,15,"Authors from the colonies and ex-colonies of England have complicated understandings of the locations, forms and indeed the language of the contemporary English novel. This course will examine these questions and the theoretical and interpretive frames in which these writers have often been placed, and probe their place in the global marketplace (and awards stage). We will read writers such as Chinua Achebe, V.S Naipaul, Ngugi wa Thiong'o, Salman Rushdie, Nuruddin Farah, Arundhati Roy and Zadie Smith as well as some of the central works of postcolonial literary criticism.",ENGL+350.00,1:40pm,Arnab  Chakladar,ENGL,6 credits,12:30pm,20
161,18WI,,,,,,Integrative+Exercise,21,"Senior English majors may fulfill the integrative exercise by completing one of the four options: the Colloquium Option (a group option in which participants discuss, analyze and write about a thematically coherent list of literary works); the Research Essay Option (an extended essay on a topic of the student's own devising); the Creative Option (creation of a work of literary art); or the Project Option (creation of an individual or group multidisciplinary project). The Research Essay Option is open to students who have completed a senior seminar in the major by the end of fall term senior year. The Creative Option is open only to students who have completed at least two creative writing courses (one of which must be at the 300 level) by the end of fall term senior year.",ENGL+400.00,n/a,Staff,ENGL,"6 credits, S/CR/NC only",n/a,25
162,18WI,,Quantitative Reasoning,Social Inquiry,,,Introduction+to+Geospatial+Analysis+&+Lab,28,"Spatial data analysis using Geographic Information Systems (GIS), remote sensing, global positioning, and related technologies are increasingly important for understanding and analyzing a wide range of biophysical, social, and economic phenomena. This course serves as an overview and introduction to the concepts, algorithms, issues, and methods in describing, analyzing, and modeling geospatial data over a range of application areas.",ENTS+120.51,1:40pm,Papia F Rozario,ENTS,6 credits,12:30pm,25
163,18WI,5,International Studies,,,,Field+Investigation+in+Comparative+Agroecology,12,"This course is the second part of a two-term course sequence beginning with Environmental and Technology Studies 260. The course begins with a two-week visit in December to Beijing and Sichuan province. Field work will include visits to Chinese farms at the forefront of an incipient sustainable agriculture movement in China, as well as discussions with Chinese sustainable agriculture researchers. In regular weekly meetings during the winter term on campus, data will be analyzed and presented in oral and written reports.",ENTS+261.00,10:00am,David  Hougen-Eitzman,ENTS,6 credits,8:15am,25
164,18WI,,,,,,Integrative+Exercise,0,,ENTS+400.00,n/a,n/a,ENTS,"1-6 credits, S/CR/NC only",n/a,25
165,18WI,,,,,,Elementary+French,11,"Building on the material covered in French 101, this course introduces complex sentences and additional verb tenses. Students apply the tools of narration in context through the reading of short literary and cultural texts. The focus of the course is on all four skills (reading, writing, listening, and speaking). Taught five days a week in French.",FREN+102.01,9:40am,Cédric  Briand,FREN,6 credits,8:30am,16
166,18WI,,,,,,Elementary+French,16,"Building on the material covered in French 101, this course introduces complex sentences and additional verb tenses. Students apply the tools of narration in context through the reading of short literary and cultural texts. The focus of the course is on all four skills (reading, writing, listening, and speaking). Taught five days a week in French.",FREN+102.02,11:00am,Cédric  Briand,FREN,6 credits,9:50am,16
167,18WI,4.7,,,,,Elementary+French,14,"Building on the material covered in French 101, this course introduces complex sentences and additional verb tenses. Students apply the tools of narration in context through the reading of short literary and cultural texts. The focus of the course is on all four skills (reading, writing, listening, and speaking). Taught five days a week in French.",FREN+102.03,1:40pm,Christine  Lac,FREN,6 credits,12:30pm,16
168,18WI,,,,,,Intermediate+French,19,"Through discussion of book-length literary and cultural texts (film, etc.), and including in-depth grammar review, this course aims to help students acquire greater skill and confidence in both oral and written expression. Taught three days a week in French.",FREN+204.00,12:20pm,Éva S Pósfay,FREN,6 credits,11:10am,16
169,18WI,5,Literary/Artistic Analysis,International Studies,,,Contemporary+French+and+Francophone+Culture,11,"Through texts, images and films coming from different continents, this class will present Francophone cultures and discuss the connections and tensions that have emerged between France and and other French speaking countries. Focused on oral and written expression this class aims to strengthen students’ linguistic skills while introducing them to the academic discipline of French and Francophone studies. The theme will be school and education in the Francophone world.",FREN+206.00,1:40pm,Sandra E Rousseau,FREN,6 credits,12:30pm,20
170,18WI,,Humanistic Inquiry,International Studies,,,Coffee+and+News,12,"Keep up your French while learning about current issues in France, as well as world issues from a French perspective. Class meets once a week for an hour. Requirements include reading specific sections of leading French newspapers, (Le Monde, Libération, etc.) on the internet, and then meeting once a week to exchange ideas over coffee with a small group of students.",FREN+210.00,4:20pm,Éva S Pósfay,FREN,"2 credits, S/CR/NC only",3:10pm,15
171,18WI,4.7,Humanistic Inquiry,Quantitative Reasoning,Writing Rich 2,International Studies,Cultural+Reading+of+Food,19,"Through the thematic lens of food, we will study enduring and variable characteristics of societies in the French and Francophone world, with a comparative nod to the American experience. We will analyze various cultural texts and artifacts (fiction, non-fiction, print, film, and objects) from medieval times to the present with a pinch of theory and a dash of statistics.",FREN+243.00,11:00am,Christine  Lac,FREN,6 credits,9:50am,20
172,18WI,5,Literary/Artistic Analysis,International Studies,,,French+and+Francophone+Autofiction,16,"How to transcribe the self, and the Franco-Rwandan singer Gaël Faye, will inform our inquiry. During the course of the term, students will also produce their own autobiographical/ autofictional projects.",FREN+357.00,12:20pm,Cathy  Yandell,FREN,6 credits,11:10am,25
173,18WI,,,,,,Integrative+Exercise,2,"During their senior year students will expand and deepen an essay in French from one of their advanced courses in the major. The director for this project will usually be the professor from that course. This essay may be completed during any term, but must be finished by the end of winter term. In the spring term, students will deliver an oral presentation (in English) of their work. Senior students may choose one of the following: Option One: A substantial individual essay. Option Two: A individual essay that complements work done in a second major (subject to approval by the Department). Option Three: Creation of a group multidisciplinary project (such as those organized by Global Engagement), subject to approval by the Department. Further details about these options are available on the Department's website.",FREN+400.00,n/a,Staff,FREN,"3 credits, S/CR/NC only",n/a,7
174,18WI,,Science with Lab Component,Quantitative Reasoning,,,Climate+Change+in+Geology+&+Lab,18,"This course is designed to introduce the study of paleoclimatology broadly, and is based on investigating local deposits that span a broad range of geologic time. We will perform research projects on topics of local interest, which may include: analyzing fossils in 450 million year old rock, scrutinizing reported Cretaceous dinosaur gizzard-stones, researching post-Ice Age climate change using cave or lake deposits, and using dendrochronology (tree rings) and seismic surveys to study disruption of the prairie-big woods landscape by European settlers. Participants should be prepared for outdoor laboratories and one Saturday field trip.",GEOL+115.52,11:55am,Dan Maxbauer,GEOL,6 credits,10:10am,18
175,18WI,4.3,,,,,Selected+Field+Topics+in+Geology,17,"This seminar course will investigate a variety of topics relevant to a specific field site. Participants will conduct fieldwork, which may involve recording observations, documenting field relationships, collecting samples, analyzing and taking  measurements, and collecting material for laboratory analysis. Coursework will also include group and independent study into the underlying geology of the region, as well as use of the primary literature to research topics of specific interest.",GEOL+200.00,9:30am,"Staff, Clint Cowan",GEOL,"2 credits, S/CR/NC only",8:30am,0
176,18WI,3.25,Quantitative Reasoning,,,,Planetary+Geomorphology+&+Lab,17,"Each time a new mission reaches an object in the solar system, results have surprised scientists and confounded their predictions. We will use imagery and mapping to explore the processes that form surfaces of solar system objects (including, but not limited to planets, and including, but not limited to, rock, water and water ice). We will compare histories of several of these objects and perhaps make some predictions of our own.",GEOL+235.00,9:40am,Mary E Savina,GEOL,3 credits,8:30am,25
177,18WI,5,Science with Lab Component,Quantitative Reasoning,International Studies,,“When+the+Earth+Shook…”+Earthquakes+in+Human+History+&+Lab,20,"Earthquakes are complex and fascinating geological events, and they have profound effects on human societies. In this course, we will explore the changing understanding of earthquakes and their geological mechanisms from antiquity to the present, as well as the ways in which societies respond to and prepare for life in seismically active zones of the world. Case studies will form an important element of the course. There is a required lab, and students will also be expected to spend two additional hours per week in a structured research setting.",GEOL+245.53,9:40am,"Mary E Savina, William L North",GEOL,3 credits,8:30am,25
178,18WI,4.41,Science with Lab Component,,,,Mineralogy+&+Lab,16,"The study of the chemical and physical properties of minerals, their geologic occurrence and associations. Topics include crystallography, crystal chemistry, x-ray analysis, phase equilibria, classification, optical mineralogy, and environments of formation. Laboratories are included.",GEOL+250.54,11:00am,Cameron  Davidson,GEOL,6 credits,9:50am,12
179,18WI,4.3,,,,,Geology+in+New+Zealand:+North+Island,24,"his course, participants will study modern and ancient geologic systems in the North Island with a view to understanding the tectonic, volcanic, and sedimentary history of New Zealand. The course will include projects in a wide range of geological settings.",GEOL+285.07,n/a,Clint Cowan,GEOL,6 credits,n/a,24
180,18WI,4.3,,,,,Geology+in+New+Zealand:+Topics+in+North+Island+Geology,24,This course is tied to the North Island half of the program. Readings and discussions will cover a broad range of topics appropriate to North Island geology.,GEOL+286.07,n/a,Clint Cowan,GEOL,"2 credits, S/CR/NC only",n/a,24
181,18WI,4,,,,,Geology+in+New+Zealand:+South+Island,24,"his course, students will study the tectonic evolution of the South Island. Participants will work in small teams to hone their field observation skills, make structural measurements, and develop their mapping skills in several field sites across the South Island. Visits to additional field sites such as glaciers, fjords, and the Alpine fault are possible.",GEOL+287.07,n/a,Sarah J Titus,GEOL,6 credits,n/a,24
182,18WI,4,,,,,Geology+in+New+Zealand:+Topics+in+South+Island+Geology,24,This course is tied to the South Island half of the program. Readings and discussions will cover a broad range of topics appropriate to South Island geology.,GEOL+288.07,n/a,Sarah J Titus,GEOL,"2 credits, S/CR/NC only",n/a,24
183,18WI,4.3,,,,,Geology+in+New+Zealand:+Basic+Field+Drawing,24,Formal and informal instruction and opportunity to improve field drawing skills. This course will include an independent field drawing assignment during midterm break in New Zealand.,GEOL+289.07,n/a,"Clint Cowan, Sarah J Titus",GEOL,"2 credits, S/CR/NC only",n/a,24
184,18WI,,,,,,Integrative+Exercise,18,"Each senior geology major must take a total of six credits of Geology 400. One of the credits will be awarded in the spring term for the preparation and delivery of a formal talk and attendance at the talks or other seniors. The other five credits must be taken in the fall and/or winter terms. Credits can be divided between those two terms or all five credits may be taken in the same term. All seniors must attend the Geology 400 seminars which will meet weekly fall and winter term. Geology 400 is a continuing course, and the grade will not be awarded until the end of spring term.",GEOL+400.00,n/a,Staff,GEOL,"1-6 credits, S/CR/NC only",n/a,30
185,18WI,4.75,,,,,Elementary+German,14,Further study of the basic structural patterns of the German language.,GERM+102.01,11:00am,"Juliane  Schicker, Josiah B Simon",GERM,6 credits,9:50am,16
186,18WI,4.75,,,,,Elementary+German,11,Further study of the basic structural patterns of the German language.,GERM+102.02,12:20pm,"Juliane  Schicker, Josiah B Simon",GERM,6 credits,11:10am,16
187,18WI,,Literary/Artistic Analysis,Writing Rich 2,International Studies,,Soul+Searching:+Faust+and+the+Devil+in+German+Cultural+History,21,"Would you sell your soul to the devil? In this course, we will explore the legend of Faust and portrayals of the devil from the Renaissance and Enlightenment to the present day, drawing on examples from classic and popular literature, film and music. Through the lens of the Faustian theme, students of all disciplines and majors are invited to survey key moments and figures in German-language culture and history. Taught in English.",GERM+151.00,3:00pm,Josiah B Simon,GERM,6 credits,1:50pm,25
188,18WI,4.75,Literary/Artistic Analysis,International Studies,,,German+Short+Prose,16,"The course introduces students to the joys and challenges of reading short German fictional and non-fictional texts of various genres from three centuries, including fairy tales, aphorisms, short stories, novellas, tweets, essays, and newspaper articles. We will read slowly and with an eye to grammar and vocabulary building, while also concentrating on developing an understanding of German cultural history. Texts and class discussions will be in German.",GERM+216.00,3:00pm,Juliane  Schicker,GERM,6 credits,1:15pm,25
189,18WI,,,,,,Integrative+Exercise,0,,GERM+400.00,n/a,n/a,GERM,"6 credits, S/CR/NC only",n/a,10
